	Source	area	short names	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
184	FAOSTAT_3	BTN	total_pesticides_use	4.54	4.53	3.39	24.5	29.18	32.33	2.0	2.31	2.4	3.21	2.54	1.87	5.16	6.64	2.09	5.93	7.05	5.82	5.68	6.56	9.07	7.44	5.4	3.38	10.81	12.17	12.17
185	FAOSTAT_3	BWA	total_pesticides_use	19.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0
186	FAOSTAT_3	CAF	total_pesticides_use	0.04	0.04	0.25	2.16	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87	22.87
187	FAOSTAT_3	CAN	total_pesticides_use	29477.5	29387.0	29296.5	29206.0	32223.4	35240.8	38258.2	41275.6	44293.0	39667.0	38456.0	34226.0	35596.0	36138.0	36363.0	36572.75	45140.03	53707.3	54529.4	61050.0	62107.2	73508.9	81659.8	76314.0	75318.3	90838.7	90838.7
188	FAOSTAT_3	CHE	total_pesticides_use	2055.9	2018.7	1934.5	1922.5	1826.3	1746.3	1644.3	1563.6	1526.6	1576.9	1561.9	1526.6	1476.7	1390.7	1388.3	1359.04	2099.3	2011.47	2170.4	2059.6	2132.14	2077.9	2098.5	2183.59	2160.34	2112.75	1997.69
189	FAOSTAT_3	CHL	total_pesticides_use	15373.0	15373.0	15373.0	15373.0	15373.0	15373.0	15373.0	15373.0	15373.0	14264.54	13156.09	12047.63	10939.18	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72	9830.72
190	FAOSTAT_3	CHN	total_pesticides_use	775388.37	809244.37	854860.37	988608.37	1097075.37	1150843.77	1204908.17	1240708.57	1333139.97	1288619.37	1283381.37	1322948.37	1335502.74	1395814.01	1469311.84	1546108.98	1632584.56	1681188.47	1717687.15	1765944.22	1795371.35	1815505.77	1811604.85	1815732.79	1772420.36	1772588.89	1773634.4
191	FAOSTAT_3	CIV	total_pesticides_use	16.0	16.0	16.0	143.0	134.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
192	FAOSTAT_3	CMR	total_pesticides_use	190.47	1842.46	1244.42	646.39	48.35	180.08	630.12	258.02	654.0	546.0	687.0	815.79	957.36	849.48	829.59	950.22	918.88	882.13	813.77	1160.63	1372.47	1372.47	1372.47	1372.47	1372.47	1372.47	1372.47
193	FAOSTAT_3	COD	total_pesticides_use	29.0	35.0	41.0	11.2	12.2	14.2	13.24	12.27	11.31	10.34	9.38	8.41	7.45	6.48	5.52	4.55	3.59	2.62	1.66	0.87	0.87	0.87	0.87	0.87	0.87	0.87	0.87
194	FAOSTAT_3	COK	total_pesticides_use	1.0	1.0	1.0	0.86	0.71	0.9	1.63	1.58	1.5	1.5	1.9	2.29	2.69	2.79	3.04	3.21	3.23	3.6	3.33	3.33	3.33	3.33	3.33	3.33	3.33	3.33	3.33
195	FAOSTAT_3	COL	total_pesticides_use	16817.0	15305.94	14961.81	17051.34	20156.23	18131.0	16005.0	60687.0	66088.0	75843.01	85515.31	84023.27	88772.16	105514.2	117881.47	98328.65	82439.08	48538.99	51435.15	48618.49	53797.03	48727.73	54563.38	73744.34	33689.3	32391.55	37698.3
196	FAOSTAT_3	COM	total_pesticides_use	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.67	0.64	0.61	0.58	0.55	0.52	0.49	0.27	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
197	FAOSTAT_3	CPV	total_pesticides_use	1.0	1.0	1.0	2.0	0.68	0.5	1.74	7.03	11.0	7.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
198	FAOSTAT_3	CRI	total_pesticides_use	1447.15	1447.15	1447.15	1475.13	1503.12	2747.79	4104.66	7898.0	16889.0	25865.0	10704.0	11125.01	10639.01	10990.02	10937.02	10988.03	12746.56	13317.0	12306.67	14241.84	12811.25	12811.25	12811.25	12811.25	12811.25	12811.25	12811.25
199	FAOSTAT_3	CYP	total_pesticides_use	1970.71	1695.53	2044.07	2518.2	2030.77	2417.19	2224.09	1660.96	1097.84	534.71	627.82	975.0	720.0	650.0	620.0	812.0	495.0	447.0	707.0	620.0	567.7	727.01	886.89	1046.78	947.88	611.09	1006.13
200	FAOSTAT_3	CZE	total_pesticides_use	0.0	0.0	3545.1	3593.15	3757.2	3631.1	4085.03	4351.03	4242.02	4533.04	4649.12	4977.62	4590.0	5318.44	5384.76	5693.11	6194.49	5440.0	4759.9	4957.4	5306.06	5345.4	5146.98	4683.39	4472.88	4433.88	4434.04
201	FAOSTAT_3	DEU	total_pesticides_use	32006.0	29542.0	25170.0	26330.0	30090.0	31683.0	30414.0	33377.0	30019.0	35273.17	33423.49	34431.72	35539.26	34930.37	36386.27	38540.15	40740.64	43413.01	39289.43	40832.42	43754.35	45522.5	43756.1	45836.29	48131.97	46920.98	48193.34
202	FAOSTAT_3	DNK	total_pesticides_use	4628.0	4566.0	4103.0	3922.0	5043.0	3672.0	3679.0	3623.0	2867.0	3174.0	3311.0	2868.0	2954.0	2899.0	3246.0	3212.0	3336.0	4145.0	2836.0	3894.0	4249.48	5716.0	4118.0	1779.89	2593.78	2558.96	2629.79
203	FAOSTAT_3	DOM	total_pesticides_use	4971.0	4971.0	4971.0	4971.0	3449.0	3493.0	3846.0	4375.0	5398.0	5082.0	7182.0	4018.07	854.14	3713.96	3515.56	4116.45	5689.8	5409.43	5975.25	6316.61	6275.95	6235.29	6194.62	6153.96	6308.54	6676.0	8985.23
204	FAOSTAT_3	DZA	total_pesticides_use	6035.05	2816.84	2650.67	2999.28	5196.29	1131.55	762.82	439.62	1168.83	1673.1	2177.37	2681.64	3185.91	3690.18	2726.44	2419.85	3478.36	5635.95	3084.25	1785.42	7528.05	8896.01	8185.41	7067.36	4432.77	4069.22	5983.19
205	FAOSTAT_3	ECU	total_pesticides_use	2377.0	2012.0	1844.0	2670.0	2658.0	2407.0	7612.0	21500.0	14216.0	17948.0	7344.0	1306.49	30634.53	29799.84	18391.23	7953.42	14156.16	15396.14	9666.87	31637.12	17529.44	11469.74	6471.77	33573.94	34806.29	34633.74	34252.8
206	FAOSTAT_3	EGY	total_pesticides_use	8255.0	6156.0	4175.0	4283.0	4391.0	4499.0	4607.0	4715.0	4823.0	4931.0	5039.0	5147.0	5255.0	5363.0	5471.0	9781.0	9105.0	9527.0	9013.0	11590.0	12945.0	13991.0	13653.0	11363.0	8043.71	8043.71	8043.71
207	FAOSTAT_3	ERI	total_pesticides_use	0.0	0.0	4.44	4.44	4.44	4.44	30.92	19.61	22.28	24.96	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63	27.63
208	FAOSTAT_3	ESP	total_pesticides_use	39147.0	31839.0	29408.0	31244.0	27852.0	33236.0	34023.0	35070.0	33614.0	34597.0	35700.0	40727.0	41586.0	47445.0	41017.0	39767.0	39286.0	40719.0	35199.0	39043.0	53549.0	48668.0	54197.0	61067.0	59018.0	61895.0	60896.4
209	FAOSTAT_3	EST	total_pesticides_use	0.0	469.0	170.0	176.0	154.0	133.0	200.0	195.0	187.0	315.0	329.0	331.0	323.0	351.0	386.0	452.0	460.0	551.0	402.0	514.0	460.0	553.0	567.0	597.0	594.0	712.0	673.98
210	FAOSTAT_3	ETH	total_pesticides_use	0.0	0.0	242.0	242.0	242.0	383.0	383.0	383.0	494.83	606.67	630.0	824.63	1019.25	1213.88	1408.5	2603.1	2593.9	2270.6	3699.2	4128.1	4128.1	4128.1	4128.1	4128.1	4128.1	4128.1	4128.1
211	FAOSTAT_3	FIN	total_pesticides_use	1738.0	1372.0	1200.0	1247.0	1041.0	909.0	999.0	1164.0	1139.0	1147.48	1423.27	1620.36	1666.82	1489.12	1431.04	1645.3	1479.45	1621.86	1693.8	1746.71	1707.54	1545.25	1475.39	1616.7	1725.2	1566.3	1327.2
212	FAOSTAT_3	FJI	total_pesticides_use	698.98	135.18	160.65	186.13	211.6	237.07	262.54	288.02	313.49	338.96	364.43	389.9	415.38	440.85	466.32	491.79	517.26	542.74	709.7	689.97	710.1	805.54	769.07	769.07	769.07	769.07	769.07
213	FAOSTAT_3	FRA	total_pesticides_use	103434.0	85249.0	91953.0	89515.0	84011.0	97890.0	109793.0	107754.0	114696.0	97878.0	99694.0	82448.0	74531.0	76120.5	78290.0	71640.5	77255.0	78601.0	63692.0	61911.0	61039.0	63547.59	66497.29	74909.6	66531.02	71951.22	70588.7
214	FAOSTAT_3	GBR	total_pesticides_use	29022.0	31077.0	32387.0	33929.0	33743.0	35579.0	35490.0	35422.0	35537.0	33031.28	32893.1	30995.26	30754.4	31223.91	31415.27	22588.09	22331.7	21596.68	21324.22	16770.87	16401.66	17718.64	17673.46	18392.45	18302.28	19277.79	19843.94
215	FAOSTAT_3	GHA	total_pesticides_use	65.8	65.8	65.8	65.8	65.8	1575.5	502.0	297.78	114.13	81.63	82.0	89.74	108.67	127.6	165.84	771.0	119.86	350.83	378.97	378.97	378.97	378.97	378.97	378.97	378.97	378.97	378.97
216	FAOSTAT_3	GIN	total_pesticides_use	80.0	80.0	21.0	39.0	153.0	157.0	157.0	181.35	205.71	230.06	254.42	278.77	303.13	327.49	351.84	376.19	400.55	424.9	449.26	556.24	663.23	770.21	877.19	400.65	400.65	400.65	400.65
217	FAOSTAT_3	GMB	total_pesticides_use	34.0	34.0	20.03	2.02	8.04	8.31	74.73	141.16	207.58	274.0	237.0	250.0	345.0	559.0	813.0	2061.0	588.0	588.0	588.0	588.0	588.0	588.0	588.0	588.0	588.0	588.0	588.0
218	FAOSTAT_3	GNB	total_pesticides_use	38.0	4.0	25.0	21.0	17.0	13.0	9.0	5.0	1.0	41.5	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0
219	FAOSTAT_3	GRC	total_pesticides_use	7420.0	7869.0	8826.0	6341.0	6663.0	7296.0	9223.0	10702.0	9635.0	10627.0	10725.0	12209.42	11836.84	12650.26	13488.68	7505.3	7345.7	5130.8	3404.4	5607.7	8189.8	8002.2	8081.72	9504.13	9018.87	9199.77	9384.4
220	FAOSTAT_3	GTM	total_pesticides_use	12004.33	12004.33	12004.33	12004.33	12004.33	12004.33	11419.53	10834.74	10249.94	9665.14	10025.35	10385.57	10745.78	11966.11	13512.61	15958.27	22890.57	18099.47	13284.9	14906.85	16540.71	19726.3	20489.4	20489.4	20489.4	20489.4	20489.4
221	FAOSTAT_3	GUY	total_pesticides_use	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	289.9	270.78	343.12	246.5	234.27	264.47	211.83	400.76	427.73	358.72	358.72	358.72	358.72	358.72
222	FAOSTAT_3	HND	total_pesticides_use	3368.28	5965.38	6768.0	2550.86	7800.0	6464.0	6980.0	3495.0	2387.0	4376.0	1156.0	1784.3	2412.61	3040.91	3669.21	4297.51	5283.93	5130.42	4344.36	5736.63	6324.41	7194.91	7194.91	7194.91	7194.91	7194.91	7194.91
223	FAOSTAT_3	HRV	total_pesticides_use	0.0	2304.0	2675.33	3046.67	3418.0	3148.0	3026.25	2904.5	2782.75	2661.0	2539.25	2417.5	2295.75	2174.0	2053.0	2150.0	2015.0	2388.0	2070.0	1540.0	1638.74	1737.48	1836.21	2109.17	2301.09	1853.37	1570.36
224	FAOSTAT_3	HTI	total_pesticides_use	18.86	11.52	6.96	8.58	12.32	14.44	16.35	23.78	26.32	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85	27.85
225	FAOSTAT_3	HUN	total_pesticides_use	8069.0	5777.0	10197.0	9574.0	7715.0	6946.0	4445.0	5280.0	4598.0	4151.0	5458.0	8249.9	8742.3	9955.7	9689.6	11535.0	11188.4	12092.8	11151.2	10305.1	8473.26	8141.17	7744.5	9011.0	9490.15	9762.9	9759.3
226	FAOSTAT_3	IDN	total_pesticides_use	3259.0	867.5	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0	1597.0
227	FAOSTAT_3	IND	total_pesticides_use	72133.0	70791.0	66388.0	61357.0	61257.0	56114.0	52279.0	49157.0	46195.0	44957.52	43720.04	42482.56	41245.08	35113.0	35342.0	37423.0	27422.77	14485.33	28707.01	40093.69	55540.0	52980.0	45620.0	60280.0	56120.0	50410.0	52750.0
228	FAOSTAT_3	IRL	total_pesticides_use	2014.0	2014.0	2014.0	2014.0	2152.0	1577.0	2201.0	2257.0	1930.0	1942.21	2333.67	2614.27	2719.41	2978.49	2624.89	2766.64	3083.02	2790.17	2268.1	2529.2	3664.3	2925.1	2950.8	3006.22	3124.2	2583.13	2860.92
229	FAOSTAT_3	IRN	total_pesticides_use	16349.0	11683.0	9572.0	10324.0	8746.0	5332.0	6307.96	7283.93	8259.89	9235.85	8809.76	9355.71	9854.61	9702.04	7508.01	7921.22	5557.99	2602.28	2308.01	2852.05	3396.1	5733.28	5173.01	4941.95	4710.9	4479.84	4479.84
230	FAOSTAT_3	IRQ	total_pesticides_use	692.0	692.0	692.0	692.0	816.0	616.0	848.0	755.0	508.0	548.0	837.47	878.68	853.65	828.62	873.01	824.14	1062.61	955.13	847.66	740.18	632.7	525.23	417.75	386.76	194.11	148.82	212.15
231	FAOSTAT_3	ISL	total_pesticides_use	3.21	3.21	3.21	3.21	3.21	3.21	3.21	3.21	3.21	4.18	4.74	4.02	4.01	6.01	5.01	5.0	5.34	5.73	4.37	2.73	3.43	3.14	2.41	3.88	4.08	3.67	2.54
232	FAOSTAT_3	ISR	total_pesticides_use	2491.0	2491.0	2491.0	2491.0	2491.0	2491.0	2491.0	2491.0	2975.02	3459.04	3943.05	4427.07	4911.09	5395.11	5879.13	6363.14	6847.16	7331.18	6650.0	6753.0	6124.0	6009.0	6005.0	6335.0	6367.0	6093.0	6093.0
233	FAOSTAT_3	ITA	total_pesticides_use	88916.6	88227.6	89282.2	81217.6	84153.0	74617.2	84799.0	84117.0	81583.0	79447.0	75978.0	94211.0	86058.0	83810.0	84647.0	74349.0	80454.0	79643.0	74172.0	71613.0	70690.0	61889.0	55633.0	59422.0	63322.0	60259.0	56641.0
234	FAOSTAT_3	JAM	total_pesticides_use	1217.44	1217.44	1217.44	1217.44	1258.99	1316.11	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7	620.7
235	FAOSTAT_3	JOR	total_pesticides_use	926.0	1365.0	786.0	773.5	761.0	910.0	875.0	845.0	525.0	553.0	1419.71	1566.41	1319.66	736.06	1735.74	1141.93	1350.86	1265.7	1089.5	932.8	1111.9	708.0	1010.0	719.0	666.0	1022.0	1289.4
236	FAOSTAT_3	JPN	total_pesticides_use	79821.18	79821.18	79821.18	79821.18	79821.18	79821.18	79821.18	79821.18	79821.18	79821.18	78735.45	70262.54	67869.72	64688.88	63829.77	65248.26	61164.07	58750.0	60970.8	55576.0	51796.3	54716.4	52794.3	53543.7	54171.16	51006.45	52248.52
237	FAOSTAT_3	KAZ	total_pesticides_use	0.0	17182.0	17182.0	17182.0	13536.0	13047.0	8112.0	6416.14	4720.28	3024.42	3007.26	3361.84	3606.55	3802.92	3666.62	3926.27	5575.89	7044.9	8716.14	6283.85	10656.6	8674.58	8738.38	11158.77	10588.9	10671.6	13811.1
238	FAOSTAT_3	KEN	total_pesticides_use	3469.0	3469.0	3469.0	3469.0	4607.0	6344.0	5172.0	4114.0	3056.0	1998.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0	1578.0
239	FAOSTAT_3	KGZ	total_pesticides_use	0.0	2418.0	2200.86	1983.72	1766.59	1549.45	1332.31	1115.17	898.04	680.9	609.6	733.2	1302.6	1321.3	1081.1	796.0	1026.2	662.8	266.8	350.1	312.9	365.1	341.1	402.6	516.0	532.8	560.4
240	FAOSTAT_3	KNA	total_pesticides_use	10.88	10.88	10.88	10.88	10.88	10.88	10.88	10.88	10.88	10.88	10.28	11.32	11.92	12.52	12.62	12.57	12.57	14.96	15.08	14.61	14.78	1.99	0.94	1.56	1.56	1.56	1.56
241	FAOSTAT_3	KOR	total_pesticides_use	27476.0	26718.0	25999.0	26184.0	25845.0	24620.0	24819.0	22103.0	25837.0	25684.0	28218.0	25844.0	24610.0	25323.0	24506.0	24076.0	24262.0	25368.0	22790.0	20431.0	19131.0	17438.0	18708.0	19788.0	19482.0	19798.0	20043.0
242	FAOSTAT_3	KWT	total_pesticides_use	14.0	14.0	14.0	14.0	14.0	18.0	20.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0
243	FAOSTAT_3	LAO	total_pesticides_use	21.0	21.0	46.0	36.11	26.22	16.33	6.44	2.23	1.76	1.28	1.82	2.35	2.89	3.42	3.96	4.5	0.53	0.07	25.67	1.85	43.81	43.53	125.89	3.0	3.0	3.0	3.0
244	FAOSTAT_3	LBN	total_pesticides_use	1221.0	1221.0	1221.0	1221.0	1221.0	1221.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0	1816.0
245	FAOSTAT_3	LBY	total_pesticides_use	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	2733.64	1654.17	947.62	974.53	1556.77	606.92	606.92	606.92	606.92	606.92	606.92	606.92	606.92
246	FAOSTAT_3	LCA	total_pesticides_use	97.0	97.0	97.0	97.0	97.0	97.0	97.0	49.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0	196.0
247	FAOSTAT_3	LKA	total_pesticides_use	1409.15	2144.31	1753.2	1860.7	1735.5	1654.41	1622.4	1532.41	1766.91	1695.71	1705.05	1714.39	1723.73	1733.07	1742.41	1751.75	1439.8	1152.39	1170.36	1450.54	1290.31	1112.8	1235.31	933.34	2539.92	1924.19	1682.17
248	FAOSTAT_3	LSO	total_pesticides_use	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.53	5.25	35.27	37.44	77.7	80.07	175.27	271.84	62.32	62.32	62.32	62.32	62.32
249	FAOSTAT_3	LTU	total_pesticides_use	0.0	1380.0	936.0	713.0	737.0	979.0	928.0	812.0	695.0	688.06	726.09	792.62	847.22	1023.62	1048.52	1197.02	2722.82	2723.06	2748.8	1803.77	2062.34	2559.9	2515.69	2545.5	2737.7	3336.1	2993.4
250	FAOSTAT_3	LUX	total_pesticides_use	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	154.25	155.19	131.33	130.32	151.57	176.8
251	FAOSTAT_3	LVA	total_pesticides_use	0.0	1005.0	476.0	294.0	358.0	361.0	334.0	369.0	326.86	284.72	367.4	335.31	477.63	594.46	723.54	743.57	1113.49	1033.0	881.2	1027.5	1070.5	1396.96	1250.0	1417.3	1512.0	1724.67	1478.43
