Source,area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FAOSTAT_3,CMR,total_fertilizers,,,,,,,,,,,,58221,48605,65934,47698,53859,51418,39102,41758,57282,68423,64081.55,62361.7,59650.42,84508.78,67602.46,80775.96
FAOSTAT_3,COD,total_fertilizers,,,,,,,,,,,,0,0,1299,32,26,176,366,2289,276,697,1191.43,1610.12,1037.21,1114.8,1192.39,1269.98
FAOSTAT_3,COK,total_fertilizers,,,,,,,,,,,,33,47,26,54,65,9,52,54,19,19,26.61,23.35,12.17,68.32,48.38,21.09
FAOSTAT_3,COL,total_fertilizers,,,,,,,,,,,,683204,735369,718315,901840,1088002,1087494,890719,882651,1031693,1182041,1271538.4,941600.52,1061968.62,1132900,1115301.23,1317024.86
FAOSTAT_3,CRI,total_fertilizers,,,,,,,,,,,,125838.31,193130.4,157722.77,143542.48,177548.43,171608.71,183141.98,84252.81,116846.49,163810.44,147396.02,136843.35,131434.41,158493.92,149709.24,160067.88
FAOSTAT_3,CUB,total_fertilizers,,,,,,,,,,,,144722,61918,68673,82180,116722,127553,152898,60661,101159,139562,147160.87,156232.85,206607.6,173340.11,128572.56,129153.5
FAOSTAT_3,CYP,total_fertilizers,,,,,,,,,,,,15965,17722,14849,13404,12538,12060,9230,15768,16749,12701,16862,14660,12685,15544,16650,16628
FAOSTAT_3,CZE,total_fertilizers,,,,,,,,,,,,263742,295144,279818,287382,301864,320042,278198,281484,303927,318224,403039,403869,404854,478861,489191,455322
FAOSTAT_3,DEU,total_fertilizers,,,,,,,,,,,,2594893,2598369,2559567,2485044,2306976,2635171,1904141,2166995,2506576,2273908,2354038,2416417,2583830,2396137,2319996,2096816
FAOSTAT_3,DMA,total_fertilizers,,,,,,,,,,,,433,741,993,1039,671,1380,223,349,313,901,508.95,735.68,482.45,912.96,532.13,248.29
FAOSTAT_3,DNK,total_fertilizers,,,,,,,,,,,,222043,309083,328516,319757,325250,328402,354718,250194,275297,282009,259000,280781,300512,321895,326253,314897
FAOSTAT_3,DOM,total_fertilizers,,,,,,,,,,,,65907,42839,48522,47757,65983,77701,64319,64448,85605,75325,59571,63826,75786.62,92077.16,73122.12,112830.95
FAOSTAT_3,DZA,total_fertilizers,,,,,,,,,,,,72765,45031,188038,55806,99072,111748,64231,107000,118500,118300,160100,168300,190500,175600,155700,155700
FAOSTAT_3,ECU,total_fertilizers,,,,,,,,,,,,227966,203712,277785,195475,256205,237932,264652,224622,299057,318228,292420.11,281988.16,333695.96,277012.83,307664.14,348830.47
FAOSTAT_3,EGY,total_fertilizers,,,,,,,,,,,,1269916,1824243,1653266,1724600,1281981,1337863,1840399,1450148,1732380,1692850,1621214.24,1765585,1805795,1776135.5,1742832.5,1720637.5
FAOSTAT_3,ERI,total_fertilizers,,,,,,,,,,,,3505,972,3,1436,11,2338,0,1920,288,567,678.69,820.37,1006.1,1603.15,1923.24,1774.36
FAOSTAT_3,ESP,total_fertilizers,,,,,,,,,,,,2122908,2281502,2154369,1835448,1810431,1985092,1330529,1211296,1637100,1524000,1540841,1749149,1858350,1860169,1776136,1905402
FAOSTAT_3,EST,total_fertilizers,,,,,,,,,,,,27007,39049,43782,36071,42298,45470,59997,41398,44111,45228,50304,52543,55813,55804,55188,59708
FAOSTAT_3,ETH,total_fertilizers,,,,,,,,,,,,167624,62315,127464,139803,149111,225168,234026,246354,318203,316308,469378.11,282487.41,395507.3,174984.86,218223.29,320034.76
FAOSTAT_3,FIN,total_fertilizers,,,,,,,,,,,,304000,284868,299327,314390,267677,276382,277660,210182,281135,193962,193962,194280.61,206893.56,200022.94,193521.79,200745.36
FAOSTAT_3,FJI,total_fertilizers,,,,,,,,,,,,12152,3273,7699,6660,4271,4046,6950,3655,2698,5855,4773.16,5598.38,5842.38,8801.38,7595.47,8616.66
FAOSTAT_3,FRA,total_fertilizers,,,,,,,,,,,,3881600,4099800,3896000,3537000,3491426,3828000,2785000,2201030,2754950,2582160,2939447,3101304,3087784,3148788,2994568,3147321
FAOSTAT_3,GAB,total_fertilizers,,,,,,,,,,,,1813,1174,1660,2712,2749,2944,3418,3907,1027,1836,3278.66,3295.9,4250.66,9937.79,10344.3,19701.85
FAOSTAT_3,GBR,total_fertilizers,,,,,,,,,,,,1788000,1778000,1672000,1563000,1549000,1541000,1285000,1451000,1497000,1447000,1460000,1545000,1516950,1492940,1523940,1483000
FAOSTAT_3,GEO,total_fertilizers,,,,,,,,,,,,26400,11524,14223,25045,21958,19140,17227,19461,13966,46059,53371.48,72520.16,58176.19,56242.91,58766.25,46609.95
FAOSTAT_3,GHA,total_fertilizers,,,,,,,,,,,,15660,28621,52802,23995,84251,76368,65473,87306,86395,62448,163361,118718,73800,110475.42,98120,98120
FAOSTAT_3,GIN,total_fertilizers,,,,,,,,,,,,2400,1965,2627,2521,2430,3398,3698,1807,2705,10391,8795.5,8891.01,3171.57,2829.76,8554.7,48392.87
FAOSTAT_3,GMB,total_fertilizers,,,,,,,,,,,,0,2821,2508,3171,3172,2720,1585,2715,3285,4624,1162.04,181.78,204.82,245.12,299.69,172.21
FAOSTAT_3,GRC,total_fertilizers,,,,,,,,,,,,424876,439589,463802,377485,322042,248751,304286,160706,314447,407574,278000,294253,273691,256770,268902,278751
FAOSTAT_3,GTM,total_fertilizers,,,,,,,,,,,,142201,177660,199914,198367,204882,195067,121907,160175,226238,252543,285068,285460.46,278237.34,294870.37,261318.04,310172.28
FAOSTAT_3,GUY,total_fertilizers,,,,,,,,,,,,14900,10375,20175,9281,13684,13715,23855,8507,16514,11694,18288.2,25857.48,22322.71,23568.34,18733.7,2440.23
FAOSTAT_3,HND,total_fertilizers,,,,,,,,,,,,34130,58630,141715,168894,198277,186895,109670,63565,66019,106152,109875.99,179915.73,142572.42,134301.28,167412.71,187902.51
FAOSTAT_3,HRV,total_fertilizers,,,,,,,,,,,,220496,252981,264759,257106,335474,349374,426243,142991,268887,278884,173474,140934,156197,153373,104038,174469
FAOSTAT_3,HUN,total_fertilizers,,,,,,,,,,,,437000,439000,453000,392000,456000,507000,443373,355256,370396,410002,438009,490119,487125,519995,554564,610276
FAOSTAT_3,IDN,total_fertilizers,,,,,,,,,,,,2489222,2938147,3236411,3303912,3397346,3992059,4188796,4286696,4283793,4662837,5203810.2,5159718.3,5460675.2,5443037.13,5444238.66,5824967.75
FAOSTAT_3,IND,total_fertilizers,,,,,,,,,,,,16095991,16807212,18406670,20347381,21642119,22571108,24228437,26445526,28110244,28373686,25536100,24482500,25581400,26752600,25949900,26593400
FAOSTAT_3,IRL,total_fertilizers,,,,,,,,,,,,702690,630920,562050,542316,497954,453173,416298,519860,467528,457170,549587,526343,556362.97,577055.28,556580.47,621892.5
