Source	id	short names	fertilizers
FAOSTAT_3	PER	total_fertilizers	539478.77
FAOSTAT_3	PHL	total_fertilizers	961487.78
FAOSTAT_3	PNG	total_fertilizers	36981.61
FAOSTAT_3	POL	total_fertilizers	2077000
FAOSTAT_3	PRT	total_fertilizers	186648.17
FAOSTAT_3	PRY	total_fertilizers	543456.16
FAOSTAT_3	QAT	total_fertilizers	96600
FAOSTAT_3	ROU	total_fertilizers	514126
FAOSTAT_3	RUS	total_fertilizers	2472910
FAOSTAT_3	RWA	total_fertilizers	12504.58
FAOSTAT_3	SAU	total_fertilizers	319400
FAOSTAT_3	SDN	total_fertilizers	172526.32
FAOSTAT_3	SEN	total_fertilizers	55949.66
FAOSTAT_3	SGP	total_fertilizers	22532.66
FAOSTAT_3	SLV	total_fertilizers	86293.68
FAOSTAT_3	SRB	total_fertilizers	530416.67
FAOSTAT_3	SUR	total_fertilizers	15079.72
FAOSTAT_3	SVK	total_fertilizers	163425.46
FAOSTAT_3	SVN	total_fertilizers	47279.56
FAOSTAT_3	SWE	total_fertilizers	264551.57
FAOSTAT_3	SYC	total_fertilizers	96.9
FAOSTAT_3	SYR	total_fertilizers	11574.09
FAOSTAT_3	TGO	total_fertilizers	15873.17
FAOSTAT_3	THA	total_fertilizers	2372540.22
FAOSTAT_3	TJK	total_fertilizers	65224.71
FAOSTAT_3	TON	total_fertilizers	236.94
FAOSTAT_3	TTO	total_fertilizers	9100
FAOSTAT_3	TUN	total_fertilizers	295116.86
FAOSTAT_3	TUR	total_fertilizers	2644333
FAOSTAT_3	TZA	total_fertilizers	163616.02
FAOSTAT_3	UGA	total_fertilizers	14228.42
FAOSTAT_3	UKR	total_fertilizers	2028080
FAOSTAT_3	URY	total_fertilizers	343274.07
FAOSTAT_3	USA	total_fertilizers	20459267
FAOSTAT_3	UZB	total_fertilizers	1023894
FAOSTAT_3	VEN	total_fertilizers	488400
FAOSTAT_3	VNM	total_fertilizers	3186088.27
FAOSTAT_3	WSM	total_fertilizers	11.45
FAOSTAT_3	YEM	total_fertilizers	14807.5
FAOSTAT_3	ZAF	total_fertilizers	731395
FAOSTAT_3	ZMB	total_fertilizers	273801.08
FAOSTAT_3	ZWE	total_fertilizers	130000
FAOSTAT_3	WORLD	total_fertilizers	192224457.1
