ranking,area,value
1,RUS,3489326.0
2,CHN,2400308.6399999997
3,USA,2237910.2
4,BRA,1945091.0
5,AUS,1935040.0
6,CAN,1881970.6
7,SAR,1595847.7
8,IND,774211.0
9,KAZ,757101.8
10,ARG,694819.0
11,SAU,603344.0
12,DZA,517722.0
13,MEX,495495.0
14,COD,479175.0
15,MNG,424300.0
16,IDN,417914.0
17,IRN,372291.39999999997
18,LBY,367259.0
19,ZAF,339509.0
20,AGO,307730.0
