ranking,area,value
1,USA,1776212.0
2,CHN,1745743.0
3,AUS,1741904.0
4,SAR,1302835.3
5,BRA,1262646.0
6,CAN,1046295.0
7,IND,656707.0
8,ARG,530969.0
9,MNG,436722.0
10,MEX,389497.0
11,SAU,388337.0
12,DZA,325680.0
13,ZAF,310479.0
14,IRN,283756.0
15,COD,277805.0
16,IDN,257669.0
17,AGO,239470.0
18,TCD,221920.0
19,LBY,204064.0
20,NGA,201377.0
