ranking,area,value
1,USA,1786996.0
2,AUS,1716538.0
3,CHN,1660694.0
4,SAR,1297097.3
5,BRA,1186002.0
6,CAN,1050279.0
7,IND,652379.0
8,ARG,535565.0
9,MNG,436722.0
10,MEX,390223.0
11,SAU,387537.0
12,DZA,326508.0
13,ZAF,314199.0
14,IRN,281836.0
15,COD,277045.0
16,IDN,258057.0
17,AGO,239270.0
18,TCD,221800.0
19,NGA,204088.98
20,LBY,200360.0
