ranking,area,value
1,CHN,2397205.0
2,USA,2258740.0
3,AUS,1999434.0
4,BRA,1916569.0
5,CAN,1886455.0
6,SAR,1616922.6
7,IND,776224.0
8,ARG,674998.0
9,SAU,553610.0
10,DZA,514970.0
11,MEX,494944.0
12,COD,479390.0
13,MNG,436842.0
14,IDN,403838.0
15,IRN,388749.0
16,LBY,367368.0
17,ZAF,338623.0
18,AGO,306790.0
19,TCD,300190.0
20,NER,287445.0
