ranking,area,value
1,RUS,3494492.0
2,CHN,2408937.0
3,USA,2245679.0
4,AUS,1990189.0
5,BRA,1932387.0
6,CAN,1886425.0
7,SAR,1616198.5999999999
8,IND,775659.0
9,KAZ,755015.3
10,ARG,675750.0
11,SAU,603723.0
12,DZA,516079.0
13,MEX,495116.0
14,COD,479010.0
15,MNG,440994.0
16,IDN,408191.0
17,IRN,389439.0
18,LBY,367358.0
19,ZAF,340676.0
20,AGO,306740.0
