ranking,area,value
1,RUS,3492076.0
2,CHN,2408658.0
3,USA,2251931.0
4,AUS,1999808.0
5,BRA,1930100.0
6,CAN,1886696.0
7,SAR,1615730.8
8,IND,775583.0
9,KAZ,757126.5
10,ARG,675383.0
11,SAU,603723.0
12,DZA,515997.0
13,MEX,494985.0
14,COD,479210.0
15,MNG,429181.0
16,IDN,405292.0
17,IRN,389960.0
18,LBY,367423.0
19,ZAF,340138.0
20,AGO,306840.0
