ranking,area,value
1,RUS,3491703.0
2,CHN,2408694.0
3,USA,2248098.0
4,AUS,2001681.0
5,BRA,1930647.0
6,CAN,1886757.0
7,SAR,1615709.0
8,IND,775227.0
9,KAZ,755413.6
10,ARG,675480.0
11,SAU,603723.0
12,DZA,515984.0
13,MEX,495100.0
14,COD,479210.0
15,MNG,429181.0
16,IDN,405282.0
17,IRN,390179.0
18,LBY,367574.0
19,ZAF,340508.0
20,AGO,306840.0
