ranking,area,value
1,CHN,1943243.0
2,USA,1769792.0
3,AUS,1702384.0
4,BRA,1314678.0
5,SAR,1309828.9
6,CAN,1044915.0
7,IND,660321.0
8,ARG,528609.0
9,SAU,451549.0
10,MNG,406420.0
11,MEX,402495.0
12,DZA,315694.0
13,ZAF,311909.0
14,IRN,286276.0
15,COD,278605.0
16,IDN,270027.0
17,AGO,239470.0
18,TCD,222420.0
19,NGA,213441.0
20,LBY,206844.0
