ranking,area,value
1,USA,1798782.0
2,AUS,1701172.0
3,CHN,1640178.0
4,SAR,1290189.3
5,BRA,1158836.0
6,CAN,1049513.0
7,IND,649627.0
8,ARG,543419.0
9,MNG,436722.0
10,MEX,390613.0
11,SAU,387393.0
12,DZA,327194.0
13,ZAF,319299.0
14,IRN,281576.0
15,COD,276905.0
16,IDN,258257.0
17,AGO,239110.0
18,TCD,221800.0
19,NGA,203110.82
20,LBY,199124.0
