ranking,area,value
1,CHN,1790694.0
2,USA,1772222.0
3,AUS,1729184.0
4,SAR,1304255.3
5,BRA,1280840.0
6,CAN,1043157.0
7,IND,658479.0
8,ARG,529961.0
9,MNG,404782.0
10,MEX,390391.0
11,SAU,388787.0
12,DZA,325814.0
13,ZAF,309729.0
14,IRN,282692.0
15,COD,278005.0
16,IDN,257157.0
17,AGO,239470.0
18,TCD,222220.0
19,LBY,205704.0
20,COL,201504.0
