ranking,area,value
1,USA,1786510.0
2,AUS,1721686.0
3,CHN,1667900.0
4,SAR,1298251.3
5,BRA,1194992.0
6,CAN,1049559.0
7,IND,652933.0
8,ARG,533075.0
9,MNG,436722.0
10,MEX,390073.0
11,SAU,387577.0
12,DZA,326676.0
13,ZAF,313669.0
14,IRN,281976.0
15,COD,277105.0
16,IDN,258057.0
17,AGO,239330.0
18,TCD,221800.0
19,NGA,207502.74
20,LBY,200764.0
