ranking,area,value
1,CHN,2391526.0
2,USA,2258740.0
3,AUS,2000941.0
4,BRA,1913236.0
5,CAN,1886470.0
6,SAR,1615209.0
7,IND,776051.0
8,ARG,674903.0
9,SAU,553419.0
10,DZA,515024.0
11,MEX,493941.0
12,COD,479370.0
13,MNG,436368.0
14,IDN,407397.0
15,IRN,387252.0
16,LBY,367363.0
17,ZAF,338218.0
18,AGO,306744.0
19,TCD,300140.0
20,NER,286387.0
