ranking,area,value
1,RUS,3493547.0
2,CHN,2409491.0
3,USA,2246380.0
4,AUS,2000246.0
5,BRA,1931740.0
6,CAN,1886536.0
7,SAR,1617190.4000000001
8,IND,775512.0
9,KAZ,755269.8
10,ARG,675668.0
11,SAU,603723.0
12,DZA,516174.0
13,MEX,495115.0
14,COD,479110.0
15,MNG,439844.0
16,IDN,406191.0
17,IRN,390539.0
18,LBY,367358.0
19,ZAF,340606.0
20,AGO,306840.0
