ranking,area,value
1,CHN,1829303.0
2,USA,1778694.0
3,AUS,1724392.0
4,SAR,1306874.5
5,BRA,1292086.0
6,CAN,1041903.0
7,IND,658861.0
8,ARG,531207.0
9,MNG,404406.0
10,MEX,391025.0
11,SAU,389105.0
12,DZA,316388.0
13,ZAF,309375.0
14,IRN,280610.0
15,COD,278245.0
16,IDN,257057.0
17,AGO,239470.0
18,TCD,222220.0
19,LBY,206538.0
20,COL,201596.0
