ranking,area,value
1,USA,1776212.0
2,CHN,1757649.0
3,AUS,1743776.0
4,SAR,1301225.3
5,BRA,1267828.0
6,CAN,1046201.0
7,IND,656617.0
8,ARG,530717.0
9,MNG,406460.0
10,MEX,389497.0
11,SAU,388469.0
12,DZA,326216.0
13,ZAF,310073.0
14,IRN,282776.0
15,COD,277905.0
16,IDN,257249.0
17,AGO,239470.0
18,TCD,222120.0
19,LBY,204470.0
20,NGA,201377.0
