ranking,area,value
1,USA,1810914.0
2,AUS,1691400.0
3,CHN,1628966.0
4,SAR,1286409.3
5,BRA,1136876.0
6,CAN,1049001.0
7,IND,647223.0
8,ARG,549327.0
9,MNG,436722.0
10,MEX,391027.0
11,SAU,387309.0
12,DZA,329116.0
13,ZAF,323979.0
14,IRN,281418.0
15,COD,276805.0
16,IDN,258357.0
17,AGO,239010.0
18,TCD,221800.0
19,LBY,198294.0
20,NGA,197430.02
