ranking,area,value
1,RUS,3493430.0
2,CHN,2407801.0
3,USA,2246783.0
4,AUS,1991960.0
5,BRA,1933034.0
6,CAN,1886315.0
7,SAR,1615252.1
8,IND,775613.0
9,KAZ,755333.3
10,ARG,675848.0
11,SAU,603723.0
12,DZA,516369.0
13,MEX,495120.0
14,COD,479010.0
15,MNG,441182.0
16,IDN,409491.0
17,IRN,388636.0
18,LBY,367358.0
19,ZAF,340743.0
20,AGO,306640.0
