ranking,area,value
1,USA,1787486.0
2,AUS,1717872.0
3,CHN,1675096.0
4,SAR,1298951.3
5,BRA,1206260.0
6,CAN,1048837.0
7,IND,654047.0
8,ARG,532139.0
9,MNG,436722.0
10,MEX,389933.0
11,SAU,387649.0
12,DZA,326580.0
13,ZAF,313289.0
14,IRN,282076.0
15,COD,277205.0
16,IDN,258057.0
17,AGO,239390.0
18,TCD,221800.0
19,NGA,207420.9
20,LBY,201184.0
