ranking,area,value
1,USA,1787642.0
2,AUS,1714182.0
3,CHN,1653488.0
4,SAR,1295807.3
5,BRA,1176604.0
6,CAN,1050025.0
7,IND,651673.0
8,ARG,537229.0
9,MNG,436722.0
10,MEX,390353.0
11,SAU,387493.0
12,DZA,326508.0
13,ZAF,314529.0
14,IRN,281816.0
15,COD,277005.0
16,IDN,258157.0
17,AGO,239210.0
18,TCD,221800.0
19,NGA,209217.26
20,LBY,199944.0
