ranking,area,value
1,CHN,1799506.0
2,USA,1772222.0
3,AUS,1734082.0
4,SAR,1301441.3
5,BRA,1284370.0
6,CAN,1042143.0
7,IND,657863.0
8,ARG,529709.0
9,MNG,404530.0
10,MEX,390755.0
11,SAU,388893.0
12,DZA,325834.0
13,ZAF,309629.0
14,IRN,278302.0
15,COD,278105.0
16,IDN,257157.0
17,AGO,239470.0
18,TCD,222220.0
19,LBY,206114.0
20,COL,201534.0
