ranking,area,value
1,USA,1782496.0
2,AUS,1734736.0
3,CHN,1702800.0
4,SAR,1296091.3
5,BRA,1235078.0
6,CAN,1046673.0
7,IND,652953.0
8,ARG,531977.0
9,MNG,436722.0
10,MEX,388271.0
11,SAU,387903.0
12,DZA,329040.0
13,ZAF,312089.0
14,IRN,283184.0
15,COD,277505.0
16,IDN,257857.0
17,AGO,239470.0
18,TCD,221800.0
19,NGA,210032.12
20,LBY,202424.0
