ranking,area,value
1,RUS,3492214.0
2,CHN,2400298.36
3,USA,2235325.7
4,BRA,1950436.1
5,AUS,1933075.3
6,CAN,1881328.6
7,SAR,1596551.9
8,IND,774336.0
9,KAZ,756934.1
10,ARG,696537.0
11,SAU,603233.0
12,DZA,517779.64
13,MEX,495495.0
14,COD,479610.0
15,MNG,424021.9
16,IDN,419314.0
17,IRN,371852.0
18,LBY,367263.0
19,ZAF,339459.0
20,AGO,308530.0
