ranking,area,value
1,RUS,3490024.0
2,CHN,2400306.6799999997
3,USA,2234153.3
4,BRA,1947001.0
5,AUS,1946132.6
6,CAN,1881299.0
7,SAR,1596488.0999999999
8,IND,774308.0
9,KAZ,756928.5
10,ARG,695619.0
11,SAU,603326.0
12,DZA,517736.0
13,MEX,495495.0
14,COD,479450.0
15,MNG,424219.0
16,IDN,418814.0
17,IRN,372144.6
18,LBY,367259.0
19,ZAF,338992.0
20,AGO,308330.0
