ranking,area,value
1,RUS,3499621.0
2,CHN,2400132.0
3,USA,2257221.0
4,AUS,2002638.0
5,BRA,1918337.0
6,CAN,1886516.0
7,SAR,1616783.8
8,IND,775943.0
9,KAZ,761403.0
10,ARG,675093.0
11,SAU,553684.0
12,DZA,515213.0
13,MEX,494967.0
14,COD,479410.0
15,MNG,434302.0
16,IDN,403665.0
17,IRN,389539.0
18,LBY,367373.0
19,ZAF,339091.0
20,AGO,306840.0
